Date,State,TotalSamples,Negative,Positive,total_positive
17-04-2020,Andaman and Nicobar Islands,1403,1210,12,12
24-04-2020,Andaman and Nicobar Islands,2679,,27,39
27-04-2020,Andaman and Nicobar Islands,2848,,33,60
01-05-2020,Andaman and Nicobar Islands,3754,,33,66
16-05-2020,Andaman and Nicobar Islands,6677,,33,66
19-05-2020,Andaman and Nicobar Islands,6965,,33,66
20-05-2020,Andaman and Nicobar Islands,7082,,33,66
21-05-2020,Andaman and Nicobar Islands,7167,,33,66
22-05-2020,Andaman and Nicobar Islands,7263,,33,66
23-05-2020,Andaman and Nicobar Islands,7327,,33,66
24-05-2020,Andaman and Nicobar Islands,7327,,33,66
25-05-2020,Andaman and Nicobar Islands,7363,,33,66
26-05-2020,Andaman and Nicobar Islands,7448,,33,66
27-05-2020,Andaman and Nicobar Islands,7499,,33,66
28-05-2020,Andaman and Nicobar Islands,7519,,33,66
29-05-2020,Andaman and Nicobar Islands,7567,,33,66
30-05-2020,Andaman and Nicobar Islands,7567,,33,66
31-05-2020,Andaman and Nicobar Islands,7706,,33,66
01-06-2020,Andaman and Nicobar Islands,7805,,33,66
02-06-2020,Andaman and Nicobar Islands,8086,,33,66
03-06-2020,Andaman and Nicobar Islands,8295,,33,66
04-06-2020,Andaman and Nicobar Islands,8413,,33,66
05-06-2020,Andaman and Nicobar Islands,8694,,33,66
06-06-2020,Andaman and Nicobar Islands,9037,,33,66
07-06-2020,Andaman and Nicobar Islands,9242,,33,66
08-06-2020,Andaman and Nicobar Islands,9341,,33,66
09-06-2020,Andaman and Nicobar Islands,9859,,33,66
10-06-2020,Andaman and Nicobar Islands,10010,,35,68
11-06-2020,Andaman and Nicobar Islands,10226,,38,73
12-06-2020,Andaman and Nicobar Islands,10697,,38,76
13-06-2020,Andaman and Nicobar Islands,10955,,38,76
14-06-2020,Andaman and Nicobar Islands,11356,,38,76
15-06-2020,Andaman and Nicobar Islands,11518,,41,79
16-06-2020,Andaman and Nicobar Islands,11809,,44,85
17-06-2020,Andaman and Nicobar Islands,12239,,44,88
18-06-2020,Andaman and Nicobar Islands,12622,,45,89
19-06-2020,Andaman and Nicobar Islands,12930,,47,92
20-06-2020,Andaman and Nicobar Islands,13320,,47,94
21-06-2020,Andaman and Nicobar Islands,13434,,48,95
22-06-2020,Andaman and Nicobar Islands,13511,,48,96
23-06-2020,Andaman and Nicobar Islands,13723,,50,98
24-06-2020,Andaman and Nicobar Islands,13994,,56,106
25-06-2020,Andaman and Nicobar Islands,14277,,59,115
26-06-2020,Andaman and Nicobar Islands,14583,,72,131
27-06-2020,Andaman and Nicobar Islands,14851,,73,145
28-06-2020,Andaman and Nicobar Islands,15094,,83,156
29-06-2020,Andaman and Nicobar Islands,15410,,90,173
30-06-2020,Andaman and Nicobar Islands,15709,,97,187
01-07-2020,Andaman and Nicobar Islands,15982,,100,197
02-07-2020,Andaman and Nicobar Islands,16278,,109,209
03-07-2020,Andaman and Nicobar Islands,16626,,116,225
04-07-2020,Andaman and Nicobar Islands,16832,,119,235
05-07-2020,Andaman and Nicobar Islands,16909,,125,244
06-07-2020,Andaman and Nicobar Islands,17095,,141,266
07-07-2020,Andaman and Nicobar Islands,17381,,147,288
08-07-2020,Andaman and Nicobar Islands,17643,,149,296
09-07-2020,Andaman and Nicobar Islands,17852,,151,300
10-07-2020,Andaman and Nicobar Islands,18046,,156,307
11-07-2020,Andaman and Nicobar Islands,18315,,163,319
12-07-2020,Andaman and Nicobar Islands,18447,,163,326
13-07-2020,Andaman and Nicobar Islands,18609,,166,329
14-07-2020,Andaman and Nicobar Islands,18884,,171,337
15-07-2020,Andaman and Nicobar Islands,19061,,176,347
16-07-2020,Andaman and Nicobar Islands,19227,,180,356
17-07-2020,Andaman and Nicobar Islands,19421,,194,374
18-07-2020,Andaman and Nicobar Islands,19671,,198,392
19-07-2020,Andaman and Nicobar Islands,19904,,203,401
20-07-2020,Andaman and Nicobar Islands,20301,,207,410
21-07-2020,Andaman and Nicobar Islands,20642,,212,419
22-07-2020,Andaman and Nicobar Islands,21043,,221,433
23-07-2020,Andaman and Nicobar Islands,21310,,240,461
24-07-2020,Andaman and Nicobar Islands,21743,,259,499
